name,type,location,lon,lat,year_founded,owner_publisher,pages,language,printing_location,printed,printed_caveat,distributed,comment
Daily Eleven,private daily,Lashio,97.747467,22.952765,,,,,,,,,
7 Day Daily,private daily,Lashio,97.747467,22.952765,,,,,,,,,
Democracy Today,private daily,Lashio,97.747467,22.952765,,,,,,,,,
The Voice Daily,private daily,Lashio,97.747467,22.952765,,,,,,,,,
Pyidaungsu Union Daily,political party daily,Lashio,97.747467,22.952765,,,,,,,,,
Kyaymon (The Mirror),state daily,Bago,96.483893,17.335828,,,,,,,,,
Myanma Alinn,state daily,Bago,96.483893,17.335828,,,,,,,,,
The Global New Light of Myanmar,state daily,Bago,96.483893,17.335828,,,,,,,,,
Myawaddy Daily,military daily,Bago,96.483893,17.335828,,,,,,,,,
Standard Time Daily,private daily,Bago,96.483893,17.335828,,,,,,,,,
Daily Eleven,private daily,Bago,96.483893,17.335828,,,,,,,,,
7 Day Daily,private daily,Bago,96.483893,17.335828,,,,,,,,,
Democracy Today,private daily,Bago,96.483893,17.335828,,,,,,,,,
The Voice Daily,private daily,Bago,96.483893,17.335828,,,,,,,,,
Pyidaungsu Union Daily,political party daily,Bago,96.483893,17.335828,,,,,,,,,
Kyaymon (The Mirror),state daily,Pathein,94.733028,16.77924,,,,,,,,,
Myanma Alinn,state daily,Pathein,94.733028,16.77924,,,,,,,,,
The Global New Light of Myanmar,state daily,Pathein,94.733028,16.77924,,,,,,,,,
Myawaddy Daily,military daily,Pathein,94.733028,16.77924,,,,,,,,,
Standard Time Daily,private daily,Pathein,94.733028,16.77924,,,,,,,,,
Daily Eleven,private daily,Pathein,94.733028,16.77924,,,,,,,,,
7 Day Daily,private daily,Pathein,94.733028,16.77924,,,,,,,,,
Democracy Today,private daily,Pathein,94.733028,16.77924,,,,,,,,,
The Voice Daily,private daily,Pathein,94.733028,16.77924,,,,,,,,,
Pyidaungsu Union Daily,political party daily,Pathein,94.733028,16.77924,,,,,,,,,
